"","Phenotype","ID"
"TCGA.BH.A209.11A","Normal","TCGA.BH.A209.11A"
"TCGA.C8.A12L.01A","IDCHer2","TCGA.C8.A12L.01A"
"TCGA.C8.A12T.01A","IDCHer2","TCGA.C8.A12T.01A"
"TCGA.C8.A135.01A","IDCHer2","TCGA.C8.A135.01A"
"TCGA.C8.A138.01A","IDCHer2","TCGA.C8.A138.01A"
"TCGA.C8.A1HF.01A","IDCHer2","TCGA.C8.A1HF.01A"
"TCGA.C8.A1HK.01A","IDCHer2","TCGA.C8.A1HK.01A"
"TCGA.C8.A26X.01A","IDCHer2","TCGA.C8.A26X.01A"
"TCGA.C8.A26Y.01A","IDCHer2","TCGA.C8.A26Y.01A"
"TCGA.C8.A275.01A","IDCHer2","TCGA.C8.A275.01A"
"TCGA.C8.A278.01A","IDCHer2","TCGA.C8.A278.01A"
"TCGA.D8.A13Z.01A","IDCHer2","TCGA.D8.A13Z.01A"
"TCGA.D8.A1JA.01A","IDCHer2","TCGA.D8.A1JA.01A"
"TCGA.D8.A1JF.01A","IDCHer2","TCGA.D8.A1JF.01A"
"TCGA.D8.A1JG.01B","IDCHer2","TCGA.D8.A1JG.01B"
"TCGA.D8.A1XT.01A","IDCHer2","TCGA.D8.A1XT.01A"
"TCGA.E2.A14P.01A","IDCHer2","TCGA.E2.A14P.01A"
"TCGA.E2.A152.01A","IDCHer2","TCGA.E2.A152.01A"
"TCGA.E2.A153.11A","Normal","TCGA.E2.A153.11A"
"TCGA.E2.A158.11A","Normal","TCGA.E2.A158.11A"
"TCGA.E2.A15I.11A","Normal","TCGA.E2.A15I.11A"
"TCGA.E2.A15K.11A","Normal","TCGA.E2.A15K.11A"
"TCGA.E2.A15M.11A","Normal","TCGA.E2.A15M.11A"
"TCGA.E2.A1B0.01A","IDCHer2","TCGA.E2.A1B0.01A"
"TCGA.E2.A1BC.11A","Normal","TCGA.E2.A1BC.11A"
"TCGA.E2.A1IG.11A","Normal","TCGA.E2.A1IG.11A"
"TCGA.E2.A1L7.11A","Normal","TCGA.E2.A1L7.11A"
"TCGA.E2.A1LB.01A","IDCHer2","TCGA.E2.A1LB.01A"
"TCGA.E2.A1LB.11A","Normal","TCGA.E2.A1LB.11A"
"TCGA.E2.A1LH.11A","Normal","TCGA.E2.A1LH.11A"
"TCGA.E2.A1LS.11A","Normal","TCGA.E2.A1LS.11A"
"TCGA.E9.A1N4.11A","Normal","TCGA.E9.A1N4.11A"
"TCGA.E9.A1N5.11A","Normal","TCGA.E9.A1N5.11A"
"TCGA.E9.A1NF.11A","Normal","TCGA.E9.A1NF.11A"
"TCGA.E9.A1R7.11A","Normal","TCGA.E9.A1R7.11A"
"TCGA.E9.A1RB.11A","Normal","TCGA.E9.A1RB.11A"
"TCGA.E9.A1RD.11A","Normal","TCGA.E9.A1RD.11A"
"TCGA.E9.A1RF.11A","Normal","TCGA.E9.A1RF.11A"
"TCGA.E9.A1RH.11A","Normal","TCGA.E9.A1RH.11A"
"TCGA.E9.A1RI.11A","Normal","TCGA.E9.A1RI.11A"
"TCGA.E9.A248.01A","IDCHer2","TCGA.E9.A248.01A"
"TCGA.EW.A1OV.01A","IDCHer2","TCGA.EW.A1OV.01A"
"TCGA.EW.A2FR.01A","IDCHer2","TCGA.EW.A2FR.01A"
"TCGA.GI.A2C8.11A","Normal","TCGA.GI.A2C8.11A"
"TCGA.GM.A2DB.01A","IDCHer2","TCGA.GM.A2DB.01A"
"TCGA.GM.A2DH.01A","IDCHer2","TCGA.GM.A2DH.01A"
"TCGA.LL.A5YO.01A","IDCHer2","TCGA.LL.A5YO.01A"
